month,channel,impressions
2024-05,HMI Audio,12080500.0
2024-05,HMI Digital Video,0.0
2024-05,HMI Display,7249735.0
2024-05,HMI Linear,0.0
2024-05,HMI OOH,56403220.13803
2024-05,Influencer,0.0
2024-05,MACS App,147499349.0
2024-05,MACS Programmatic,388717515.0
2024-05,MACS Social,102086472.0
2024-05,OO Display,4017556.0
2024-05,OO Linear,205269835.0
2024-05,OO Video,62741949.0
2024-05,Paid Search,10663406.0
2024-05,Partnerships,529393563.0
2024-05,Podcast One Audio,81294317.998
2024-06,HMI Audio,42679700.0064
2024-06,HMI Digital Video,5.0
2024-06,HMI Display,28737713.0
2024-06,HMI Linear,9053300.0
2024-06,HMI OOH,53496180.42387
2024-06,Influencer,593106.0
2024-06,MACS App,165292777.0
2024-06,MACS Programmatic,164211007.0
2024-06,MACS Social,104441688.0
2024-06,OO Display,565492.0
2024-06,OO Linear,204964714.0
2024-06,OO Video,48025554.0
2024-06,Paid Search,11906497.0
2024-06,Partnerships,694281026.0
2024-06,Podcast One Audio,65708991.992000006
2024-07,HMI Audio,41024885.7192
2024-07,HMI Digital Video,0.0
2024-07,HMI Display,63392112.0
2024-07,HMI Linear,8505480.0
2024-07,HMI OOH,89167844.14119
2024-07,Influencer,262615.0
2024-07,MACS App,236761460.0
2024-07,MACS Programmatic,139197017.0
2024-07,MACS Social,89203508.0
2024-07,OO Display,683352.0
2024-07,OO Linear,284870831.0
2024-07,OO Video,71140537.0
2024-07,Paid Search,8655780.0
2024-07,Partnerships,480938166.0
2024-07,Podcast One Audio,60602151.0049
2024-08,HMI Audio,40584314.2939
2024-08,HMI Digital Video,0.0
2024-08,HMI Display,27031076.0
2024-08,HMI Linear,6993520.0
2024-08,HMI OOH,56403220.13803
2024-08,Influencer,756051.0
2024-08,MACS App,246181173.0
2024-08,MACS Programmatic,109028438.0
2024-08,MACS Social,67518697.0
2024-08,OO Display,816604.0
2024-08,OO Linear,177615272.0
2024-08,OO Video,53751660.0
2024-08,Paid Search,9696533.0
2024-08,Partnerships,730102747.0
2024-08,Podcast One Audio,65544461.0
2024-09,HMI Audio,54044368.2576
2024-09,HMI Digital Video,0.0
2024-09,HMI Display,17642607.0
2024-09,HMI Linear,13106126.236159999
2024-09,HMI OOH,58280359.06627
2024-09,Influencer,0.0
2024-09,MACS App,293357205.0
2024-09,MACS Programmatic,80621207.0
2024-09,MACS Social,82179501.0
2024-09,OO Display,10305031.0
2024-09,OO Linear,80646676.12801
2024-09,OO Video,36276806.0
2024-09,Paid Search,29901620.0
2024-09,Partnerships,800908420.0
2024-09,Podcast One Audio,64188721.997
2024-10,HMI Audio,92542335.13774
2024-10,HMI Digital Video,0.0
2024-10,HMI Display,65172088.0
2024-10,HMI Linear,13641676.980834
2024-10,HMI OOH,97331163.52167
2024-10,Influencer,0.0
2024-10,MACS App,385099778.0
2024-10,MACS Programmatic,253880521.0
2024-10,MACS Social,170370330.0
2024-10,OO Display,19292037.0
2024-10,OO Linear,9273360.0
2024-10,OO Video,48140759.0
2024-10,Paid Search,61849187.0
2024-10,Partnerships,688868148.6681
2024-10,Podcast One Audio,71505785.999
2024-11,HMI Audio,129786811.07283
2024-11,HMI Digital Video,0.0
2024-11,HMI Display,17354376.0
2024-11,HMI Linear,5506187.61716
2024-11,HMI OOH,163825298.142
2024-11,Influencer,0.0
2024-11,MACS App,420649714.0
2024-11,MACS Programmatic,150979003.0
2024-11,MACS Social,80768608.0
2024-11,OO Display,12625648.0
2024-11,OO Linear,18510690.0
2024-11,OO Video,56479364.0
2024-11,Paid Search,56947337.0
2024-11,Partnerships,1304314077.667
2024-11,Podcast One Audio,89504292.0
2024-12,HMI Audio,20432650.3074
2024-12,HMI Digital Video,0.0
2024-12,HMI Display,3816709.0
2024-12,HMI Linear,7369912.58304
2024-12,HMI OOH,59036408.96049
2024-12,Influencer,0.0
2024-12,MACS App,392182353.0
2024-12,MACS Programmatic,204955479.0
2024-12,MACS Social,79724603.0
2024-12,OO Display,22136405.0
2024-12,OO Linear,26802000.0
2024-12,OO Video,95488125.0
2024-12,Paid Search,51473761.0
2024-12,Partnerships,1545481975.666
2024-12,Podcast One Audio,58870577.996
