month,channel,imps
2024-07-01,MACS App,221085472
2024-07-01,MACS Programmatic,122583484
2024-07-01,MACS Social,79833212
2024-07-01,OO Display,582359
2024-07-01,OO Linear,239664483
2024-07-01,OO Video,63144326
2024-07-01,Paid Search,7703286
2024-07-01,Partnerships,476513187
2024-07-01,Podcast One Audio,47781426
2024-08-01,HMI Audio,35975328
2024-08-01,HMI Digital Video,0
2024-08-01,HMI Display,24037332
2024-08-01,HMI Linear,6795120
2024-08-01,HMI OOH,50944843
2024-08-01,Influencer,756051
2024-08-01,MACS App,222628100
2024-08-01,MACS Programmatic,97187351
2024-08-01,MACS Social,58883521
2024-08-01,OO Display,757057
2024-08-01,OO Linear,154031678
2024-08-01,OO Video,48210139
2024-08-01,Paid Search,8818521
2024-08-01,Partnerships,698442827
2024-08-01,Podcast One Audio,65379011
2024-09-01,HMI Audio,63843549
2024-09-01,HMI Digital Video,0
2024-09-01,HMI Display,31020505
2024-09-01,HMI Linear,18558897
2024-09-01,HMI OOH,70955530
2024-09-01,Influencer,0
2024-09-01,MACS App,363132104
2024-09-01,MACS Programmatic,132956515
2024-09-01,MACS Social,93507208
2024-09-01,OO Display,13562096
2024-09-01,OO Linear,81930896
2024-09-01,OO Video,43703047
2024-09-01,Paid Search,36965299
2024-09-01,Partnerships,880545107
2024-09-01,Podcast One Audio,78252426
2024-10-01,HMI Audio,89034840
2024-10-01,HMI Digital Video,0
2024-10-01,HMI Display,52732729
2024-10-01,HMI Linear,8337045
2024-10-01,HMI OOH,92449486
2024-10-01,Influencer,0
2024-10-01,MACS App,336886342
2024-10-01,MACS Programmatic,205431030
2024-10-01,MACS Social,160236452
2024-10-01,OO Display,16820925
2024-10-01,OO Linear,9976400
2024-10-01,OO Video,44194654
2024-10-01,Paid Search,57061739
2024-10-01,Partnerships,660726011
2024-10-01,Podcast One Audio,60671231
2024-11-01,HMI Audio,123495125
2024-11-01,HMI Digital Video,0
2024-11-01,HMI Display,16415837
2024-11-01,HMI Linear,5358047
2024-11-01,HMI OOH,156031804
2024-11-01,Influencer,0
2024-11-01,MACS App,399088251
2024-11-01,MACS Programmatic,147093186
2024-11-01,MACS Social,79574779
2024-11-01,OO Display,11839695
2024-11-01,OO Linear,16523430
2024-11-01,OO Video,52999228
2024-11-01,Paid Search,54671106
2024-11-01,Partnerships,1252819527
2024-11-01,Podcast One Audio,86275141
2024-12-01,HMI Audio,15186904
2024-12-01,HMI Digital Video,0
2024-12-01,HMI Display,3612933
2024-12-01,HMI Linear,7090986
2024-12-01,HMI OOH,51874523
2024-12-01,Influencer,0
2024-12-01,MACS App,341511314
2024-12-01,MACS Programmatic,150574838
2024-12-01,MACS Social,68738393
2024-12-01,OO Display,18989171
2024-12-01,OO Linear,23663000
2024-12-01,OO Video,76040191
2024-12-01,Paid Search,45633840
2024-12-01,Partnerships,1344025613
2024-12-01,Podcast One Audio,55482529
